era,baseline_version,version,channel,total_files,root_files,jobSH_files,log_files,other_files,hist_dir
2018,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau0lV2,1tau0l,455,82,86,164,123,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0lV2
2018,v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2,v0BDT1tau1l,1tau1l,453,80,86,160,127,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_v94HadroPreJetVetoHemOnly_backupV2/mc/variableHists_v0BDT1tau1l
2016preVFP,v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2,v3BDT1tau2lV18_fakeTauDataDriven,1tau2l,452,73,105,146,128,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2016preVFP/v1baselineHadroBtagWeightAdded_v94LepPreJetVetoHemOnlyV2/mc/variableHists_v3BDT1tau2lV18_fakeTauDataDriven
2018,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau0l,1tau0l,450,82,86,164,118,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0l
2018,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau0lV16,1tau0l,449,82,86,164,117,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0lV16
2018,v0baselineHadro_newFRBinATauFMorph_v94HadroPreJetVetoHemOnly,v1dataMC_fakeTauDataDriven,unknown,449,82,86,164,117,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineHadro_newFRBinATauFMorph_v94HadroPreJetVetoHemOnly/mc/variableHists_v1dataMC_fakeTauDataDriven
2018,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau1lV15,1tau1l,444,82,86,164,112,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lV15
2017,v0baselineHadro_v94HadroPreJetVetoHemOnly,v0BDT1tau0l,1tau0l,444,76,86,152,130,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2017/v0baselineHadro_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau0l
2018,v0baselineLep_tauF1NewFRBinA_v94LepPreJetVetoHemOnly,v1dataMC_fakeTauDataDriven,unknown,443,75,93,150,125,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v0baselineLep_tauF1NewFRBinA_v94LepPreJetVetoHemOnly/mc/variableHists_v1dataMC_fakeTauDataDriven
2018,v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly,v0BDT1tau1lAddMCFakeT,1tau1l,438,80,84,160,114,/publicfs/cms/user/huahuil/tauOfTTTT_NanoAOD/forMVA/2018/v1baselineHadroBtagWeightAdded_v94HadroPreJetVetoHemOnly/mc/variableHists_v0BDT1tau1lAddMCFakeT
